frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
14,  0,  0.437,  0.98,  1, 0.00, 0.00, 0.09, 0.00, 0.05, 0.10, 0.00, 0.00, 0.90, 0.32, 0.00, 0.00, 0.50, 0.13, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
15,  0,  0.470,  0.98,  1, 0.00, 0.00, 0.19, 0.00, 0.06, 0.15, 0.00, 0.00, 0.90, 0.46, 0.00, 0.06, 0.47, 0.16, 0.14, 0.13, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
16,  0,  0.504,  0.98,  1, 0.00, 0.00, 0.31, 0.00, 0.11, 0.23, 0.00, 0.00, 0.93, 0.68, 0.05, 0.07, 0.37, 0.10, 0.12, 0.22, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
17,  0,  0.538,  0.98,  1, 0.00, 0.00, 0.35, 0.00, 0.08, 0.26, 0.00, 0.00, 0.91, 0.87, 0.05, 0.14, 0.13, 0.03, 0.08, 0.33, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
18,  0,  0.571,  0.98,  1, 0.00, 0.00, 0.33, 0.00, 0.06, 0.22, 0.00, 0.00, 0.85, 0.92, 0.05, 0.13, 0.18, 0.00, 0.10, 0.26, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
19,  0,  0.605,  0.98,  1, 0.00, 0.00, 0.25, 0.00, 0.01, 0.30, 0.00, 0.00, 0.78, 0.82, 0.00, 0.16, 0.13, 0.00, 0.09, 0.17, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
20,  0,  0.638,  0.98,  1, 0.00, 0.00, 0.26, 0.00, 0.00, 0.38, 0.00, 0.00, 0.68, 0.74, 0.05, 0.21, 0.35, 0.03, 0.08, 0.23, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
21,  0,  0.672,  0.98,  1, 0.00, 0.00, 0.27, 0.00, 0.00, 0.35, 0.00, 0.00, 0.63, 0.61, 0.17, 0.33, 0.31, 0.03, 0.02, 0.30, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
22,  0,  0.706,  0.98,  1, 0.00, 0.00, 0.32, 0.00, 0.00, 0.20, 0.00, 0.00, 0.58, 0.68, 0.33, 0.41, 0.30, 0.06, 0.02, 0.36, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
23,  0,  0.739,  0.98,  1, 0.00, 0.00, 0.41, 0.00, 0.00, 0.00, 0.00, 0.00, 0.57, 0.61, 0.32, 0.37, 0.14, 0.05, 0.14, 0.33, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
24,  0,  0.773,  0.98,  1, 0.00, 0.00, 0.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.60, 0.64, 0.20, 0.32, 0.13, 0.08, 0.21, 0.28, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
25,  0,  0.807,  0.98,  1, 0.00, 0.00, 0.51, 0.00, 0.00, 0.04, 0.00, 0.00, 0.56, 0.54, 0.13, 0.35, 0.12, 0.07, 0.28, 0.36, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
26,  0,  0.840,  0.98,  1, 0.00, 0.00, 0.52, 0.00, 0.00, 0.04, 0.00, 0.00, 0.58, 0.64, 0.11, 0.41, 0.07, 0.09, 0.20, 0.30, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
27,  0,  0.874,  0.98,  1, 0.00, 0.00, 0.51, 0.00, 0.00, 0.04, 0.00, 0.00, 0.55, 0.64, 0.18, 0.49, 0.05, 0.09, 0.20, 0.27, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
28,  0,  0.907,  0.98,  1, 0.00, 0.00, 0.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.55, 0.61, 0.21, 0.48, 0.05, 0.10, 0.13, 0.31, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
29,  0,  0.941,  0.98,  1, 0.00, 0.00, 0.36, 0.00, 0.00, 0.01, 0.00, 0.00, 0.55, 0.46, 0.22, 0.53, 0.10, 0.08, 0.11, 0.42, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
30,  0,  0.975,  0.98,  1, 0.00, 0.00, 0.30, 0.04, 0.00, 0.01, 0.00, 0.00, 0.49, 0.38, 0.15, 0.69, 0.05, 0.09, 0.02, 0.48, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
31,  0,  1.008,  0.98,  1, 0.04, 0.00, 0.31, 0.04, 0.00, 0.01, 0.00, 0.00, 0.48, 0.36, 0.13, 0.87, 0.05, 0.13, 0.02, 0.55, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
32,  0,  1.042,  0.98,  1, 0.04, 0.00, 0.40, 0.04, 0.00, 0.00, 0.00, 0.00, 0.44, 0.33, 0.16, 1.04, 0.02, 0.18, 0.00, 0.53, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
33,  0,  1.075,  0.98,  1, 0.04, 0.00, 0.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.45, 0.29, 0.14, 1.01, 0.10, 0.16, 0.00, 0.63, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
34,  0,  1.109,  0.98,  1, 0.00, 0.00, 0.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.43, 0.34, 0.15, 1.01, 0.11, 0.09, 0.11, 0.55, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
35,  0,  1.143,  0.98,  1, 0.00, 0.00, 0.52, 0.00, 0.00, 0.02, 0.00, 0.00, 0.41, 0.42, 0.17, 0.88, 0.10, 0.03, 0.13, 0.57, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
36,  0,  1.176,  0.98,  1, 0.00, 0.00, 0.54, 0.00, 0.00, 0.04, 0.00, 0.00, 0.43, 0.60, 0.22, 0.76, 0.02, 0.01, 0.20, 0.57, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
37,  0,  1.210,  0.98,  1, 0.00, 0.00, 0.53, 0.00, 0.00, 0.06, 0.00, 0.00, 0.41, 0.58, 0.13, 0.63, 0.01, 0.01, 0.15, 0.57, 0.02, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
38,  0,  1.243,  0.98,  1, 0.00, 0.00, 0.53, 0.00, 0.00, 0.05, 0.00, 0.00, 0.41, 0.57, 0.11, 0.66, 0.05, 0.02, 0.16, 0.54, 0.03, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
39,  0,  1.277,  0.98,  1, 0.00, 0.00, 0.45, 0.00, 0.00, 0.02, 0.00, 0.00, 0.44, 0.55, 0.06, 0.58, 0.05, 0.02, 0.19, 0.39, 0.03, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
40,  0,  1.311,  0.98,  1, 0.00, 0.00, 0.41, 0.00, 0.00, 0.00, 0.00, 0.00, 0.49, 0.46, 0.06, 0.60, 0.06, 0.05, 0.21, 0.31, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
41,  0,  1.344,  0.98,  1, 0.00, 0.00, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.51, 0.42, 0.00, 0.58, 0.07, 0.10, 0.29, 0.32, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
42,  0,  1.378,  0.98,  1, 0.00, 0.00, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.46, 0.29, 0.06, 0.63, 0.16, 0.14, 0.23, 0.29, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
43,  0,  1.411,  0.98,  1, 0.00, 0.00, 0.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.38, 0.35, 0.14, 0.61, 0.15, 0.20, 0.15, 0.28, 0.05, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
44,  0,  1.445,  0.98,  1, 0.00, 0.00, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.33, 0.29, 0.18, 0.51, 0.09, 0.19, 0.04, 0.20, 0.07, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
45,  0,  1.479,  0.98,  1, 0.00, 0.00, 0.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.32, 0.31, 0.12, 0.58, 0.03, 0.18, 0.03, 0.24, 0.07, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
46,  0,  1.512,  0.98,  1, 0.00, 0.00, 0.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.36, 0.27, 0.14, 0.61, 0.04, 0.16, 0.13, 0.32, 0.02, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
47,  0,  1.546,  0.98,  1, 0.00, 0.00, 0.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.41, 0.24, 0.09, 0.68, 0.03, 0.14, 0.28, 0.46, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
48,  0,  1.579,  0.98,  1, 0.00, 0.00, 0.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.45, 0.25, 0.18, 0.68, 0.09, 0.13, 0.25, 0.46, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
49,  0,  1.613,  0.98,  1, 0.00, 0.00, 0.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.46, 0.40, 0.18, 0.69, 0.13, 0.08, 0.15, 0.38, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
50,  0,  1.647,  0.98,  1, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.45, 0.44, 0.33, 0.76, 0.22, 0.12, 0.04, 0.25, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
51,  0,  1.680,  0.98,  1, 0.00, 0.00, 0.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.43, 0.37, 0.34, 0.76, 0.20, 0.15, 0.14, 0.31, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
52,  0,  1.714,  0.98,  1, 0.00, 0.00, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.42, 0.23, 0.25, 0.79, 0.14, 0.17, 0.17, 0.33, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
53,  0,  1.747,  0.98,  1, 0.00, 0.00, 0.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.41, 0.19, 0.10, 0.73, 0.05, 0.18, 0.19, 0.32, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
54,  0,  1.781,  0.98,  1, 0.00, 0.00, 0.22, 0.00, 0.00, 0.00, 0.00, 0.00, 0.39, 0.24, 0.00, 0.76, 0.00, 0.18, 0.13, 0.33, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
55,  0,  1.815,  0.98,  1, 0.00, 0.00, 0.20, 0.00, 0.00, 0.05, 0.00, 0.00, 0.42, 0.16, 0.03, 0.76, 0.00, 0.18, 0.12, 0.31, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
56,  0,  1.848,  0.98,  1, 0.00, 0.00, 0.19, 0.00, 0.00, 0.05, 0.00, 0.00, 0.46, 0.21, 0.03, 0.77, 0.00, 0.15, 0.08, 0.44, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
57,  0,  1.882,  0.98,  1, 0.00, 0.00, 0.09, 0.00, 0.00, 0.05, 0.00, 0.00, 0.49, 0.13, 0.08, 0.72, 0.00, 0.13, 0.10, 0.48, 0.04, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
58,  0,  1.915,  0.98,  1, 0.00, 0.00, 0.12, 0.00, 0.00, 0.03, 0.00, 0.00, 0.50, 0.22, 0.14, 0.67, 0.00, 0.13, 0.12, 0.54, 0.13, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
59,  0,  1.949,  0.98,  1, 0.00, 0.00, 0.08, 0.00, 0.00, 0.04, 0.00, 0.00, 0.46, 0.21, 0.22, 0.69, 0.06, 0.12, 0.16, 0.53, 0.16, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
60,  0,  1.983,  0.98,  1, 0.00, 0.00, 0.09, 0.00, 0.00, 0.15, 0.00, 0.00, 0.41, 0.29, 0.26, 0.61, 0.14, 0.08, 0.16, 0.47, 0.13, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
61,  0,  2.016,  0.98,  1, 0.00, 0.00, 0.09, 0.00, 0.00, 0.22, 0.00, 0.00, 0.37, 0.38, 0.19, 0.55, 0.14, 0.06, 0.17, 0.39, 0.07, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
62,  0,  2.050,  0.98,  1, 0.00, 0.00, 0.13, 0.00, 0.00, 0.36, 0.00, 0.00, 0.38, 0.39, 0.12, 0.46, 0.12, 0.07, 0.14, 0.24, 0.13, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
63,  0,  2.083,  0.98,  1, 0.00, 0.00, 0.23, 0.00, 0.00, 0.41, 0.00, 0.00, 0.42, 0.46, 0.11, 0.57, 0.09, 0.13, 0.10, 0.24, 0.11, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
64,  0,  2.117,  0.98,  1, 0.00, 0.00, 0.21, 0.00, 0.00, 0.49, 0.00, 0.00, 0.39, 0.40, 0.17, 0.63, 0.09, 0.14, 0.11, 0.33, 0.09, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
65,  0,  2.151,  0.98,  1, 0.00, 0.00, 0.16, 0.00, 0.00, 0.35, 0.00, 0.00, 0.39, 0.44, 0.24, 0.56, 0.05, 0.16, 0.10, 0.36, 0.09, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
66,  0,  2.184,  0.98,  1, 0.00, 0.00, 0.11, 0.00, 0.00, 0.45, 0.00, 0.00, 0.41, 0.42, 0.22, 0.49, 0.00, 0.13, 0.12, 0.30, 0.13, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
67,  0,  2.218,  0.98,  1, 0.00, 0.00, 0.17, 0.00, 0.00, 0.42, 0.00, 0.00, 0.42, 0.41, 0.14, 0.56, 0.04, 0.14, 0.09, 0.34, 0.17, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
68,  0,  2.252,  0.98,  1, 0.00, 0.00, 0.28, 0.00, 0.00, 0.57, 0.00, 0.00, 0.43, 0.33, 0.10, 0.77, 0.15, 0.15, 0.08, 0.43, 0.08, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
69,  0,  2.285,  0.98,  1, 0.00, 0.00, 0.29, 0.00, 0.00, 0.31, 0.00, 0.00, 0.44, 0.25, 0.09, 0.87, 0.19, 0.17, 0.03, 0.52, 0.04, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
70,  0,  2.319,  0.98,  1, 0.00, 0.00, 0.31, 0.00, 0.00, 0.16, 0.00, 0.00, 0.46, 0.19, 0.10, 0.88, 0.17, 0.20, 0.00, 0.46, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
